"price","bed","bath","acre_lot","city","state","zip_code","house_size"
650000,"3","2",0.15,"Boston","Massachusetts",2136,1676
799000,"3","2",0.18,"Milton","Massachusetts",2186,1634
649900,"2","2",0.11,"Boston","Massachusetts",2125,927
599000,"2","1",0.06,"Boston","Massachusetts",2128,902
899000,"3","2",0.85,"Milton","Massachusetts",2186,2526
570000,"4","2",0.02,"Boston","Massachusetts",2128,1728
675000,"2","2",0.02,"Boston","Massachusetts",2127,887
579000,"2","1",0.02,"Boston","Massachusetts",2127,695
550000,"3","1",0.17,"Dedham","Massachusetts",2026,1580
725000,"4","3",0.47,"Westwood","Massachusetts",2090,1710
949900,"2","3",0.03,"Boston","Massachusetts",2127,1421
669900,"3","2",0.19,"Dedham","Massachusetts",2026,1734
475000,"2","1",0.2,"Revere","Massachusetts",2151,1618
789900,"3","2",0.12,"Milton","Massachusetts",2186,1530
999000,"4","4",0.06,"Boston","Massachusetts",2125,2876
1299999,"4","2",0.03,"Boston","Massachusetts",2128,2164
585000,"3","2",0.13,"Boston","Massachusetts",2136,1409
355000,"2","1",0.02,"Boston","Massachusetts",2136,877
1498000,"2","2",0.03,"Boston","Massachusetts",2210,1510
675000,"2","2",0.03,"Boston","Massachusetts",2127,1318
750000,"4","3",0.06,"Dedham","Massachusetts",2026,2624
1299000,"2","2",0.04,"Boston","Massachusetts",2127,1664
850000,"4","3",0.12,"Dedham","Massachusetts",2026,2136
574900,"4","3",0.04,"Boston","Massachusetts",2119,1760
699000,"2","1",0.02,"Boston","Massachusetts",2118,725
919000,"6","2",0.04,"Boston","Massachusetts",2128,1888
585000,"3","1",0.03,"Revere","Massachusetts",2151,1140
959000,"2","2",0.02,"Boston","Massachusetts",2116,949
835000,"3","2",0.04,"Boston","Massachusetts",2125,1716
995000,"2","2",0.03,"Boston","Massachusetts",2118,1168
1589000,"2","2",0.04,"Boston","Massachusetts",2118,1725
525000,"3","2",0.17,"Boston","Massachusetts",2136,1024
885000,"6","4",0.06,"Boston","Massachusetts",2128,2586
849900,"3","3",0.48,"Dedham","Massachusetts",2026,2189
523900,"3","2",0.1,"Hyde Park","Massachusetts",2136,1104
399900,"1","1",0.02,"Boston","Massachusetts",2127,700
1200000,"5","4",0.14,"Revere","Massachusetts",2151,3050
760000,"6","3",0.06,"Chelsea","Massachusetts",2150,1429
499900,"5","1",0.11,"Boston","Massachusetts",2124,1782
1050000,"4","4",0.04,"Milton","Massachusetts",2186,2800
499900,"1","1",0.01,"Boston","Massachusetts",2127,505
1575000,"2","2",0.03,"Boston","Massachusetts",2111,1308
850000,"2","2",0.03,"Boston","Massachusetts",2127,1209
849000,"2","2",0.03,"Boston","Massachusetts",2127,1238
879000,"1","1",0.02,"Boston","Massachusetts",2113,913
549000,"3","2",0.05,"Revere","Massachusetts",2151,1621
948000,"4","4",0.16,"Boston","Massachusetts",2124,3361
869000,"5","3",0.39,"Westwood","Massachusetts",2090,2497
1500000,"3","4",0.02,"Boston","Massachusetts",2127,1617
849900,"7","3",0.12,"Boston","Massachusetts",2125,2941
730000,"4","2",0.35,"Peabody","Massachusetts",1960,1912
739000,"1","1",0.01,"Boston","Massachusetts",2116,642
1100000,"5","2",0.06,"Boston","Massachusetts",2125,2510
949000,"1","1",0.02,"Boston","Massachusetts",2118,985
520000,"3","2",0.13,"Boston","Massachusetts",2136,2007
999900,"6","3",0.04,"Boston","Massachusetts",2128,2736
579000,"2","2",0.06,"Boston","Massachusetts",2128,731
899900,"3","3",0.03,"Boston","Massachusetts",2128,1760
949900,"6","3",0.16,"Boston","Massachusetts",2136,3964
525000,"2","2",0.02,"Boston","Massachusetts",2128,733
849900,"4","3",0.12,"Boston","Massachusetts",2128,2950
1200000,"6","4",0.68,"Saugus","Massachusetts",1906,3058
649000,"2","2",0.05,"Boston","Massachusetts",2128,765
1449000,"4","3",0.96,"Westwood","Massachusetts",2090,1767
1095000,"2","2",0.02,"Boston","Massachusetts",2111,812
729900,"3","2",0.09,"Dedham","Massachusetts",2026,2251
850000,"5","3",0.11,"Boston","Massachusetts",2128,2400
749900,"3","2",0.19,"Milton","Massachusetts",2186,1722
775000,"4","2",0.15,"Boston","Massachusetts",2121,2633
599000,"1","1",0.01,"Boston","Massachusetts",2127,574
749000,"1","1",0.02,"Boston","Massachusetts",2110,732
479000,"1","1",0.01,"Boston","Massachusetts",2127,451
599000,"3","2",0.09,"Revere","Massachusetts",2151,2039
699000,"2","2",0.01,"Boston","Massachusetts",2127,1260
639900,"3","3",0.05,"Boston","Massachusetts",2121,1409
639000,"2","1",0.02,"Boston","Massachusetts",2127,914
489900,"6","2",0.09,"Boston","Massachusetts",2124,2062
578000,"3","2",0.03,"Boston","Massachusetts",2125,1506
449900,"2","1",0.02,"Boston","Massachusetts",2124,1036
1299900,"4","3",0.81,"Lynnfield","Massachusetts",1940,3300
1125000,"3","2",0.23,"Milton","Massachusetts",2186,2090
1099000,"1","2",0.02,"Boston","Massachusetts",2109,923
899000,"3","3",0.04,"Boston","Massachusetts",2127,1820
679000,"3","3",0.05,"Boston","Massachusetts",2126,1469
925000,"2","2",0.03,"Boston","Massachusetts",2127,1100
599000,"1","1",0.01,"Boston","Massachusetts",2127,550
